y,d,dx_star,dz_star,Kxx,Kxz,Kzx,Kzz
21725,63.1875,0.9304645358422181,0.1120500621873175,2109.518557368772,308.5296617122069,308.5296617122069,17129.927298925377
21750,63.125,0.9305805957085382,0.11177004407662992,2109.2995744137866,310.06196640263914,310.06196640263914,17166.246791453654
21775,63.0625,0.9306983928668751,0.11149006067844297,2109.077142503277,311.6042574078501,311.6042574078501,17202.697434423142
21800,63.0,0.9308179266505419,0.11121011155262846,2108.851270510013,313.1566116855219,313.1566116855219,17239.279877642806
21825,62.9375,0.9309391962086813,0.11093019625949736,2108.6219678125076,314.7191067998009,314.7191067998009,17275.994774835763
21850,62.875,0.9310622005012963,0.11065031435989532,2108.3892443059194,316.29182092430534,316.29182092430534,17312.842783664106
21875,62.8125,0.9311869382942795,0.1103704654154463,2108.1531104131964,317.8748328451039,317.8748328451039,17349.82456575386
21900,62.75,0.9313134081541836,0.11009064898853588,2107.913577096449,319.46822196356857,319.46822196356857,17386.940786719984
21925,62.6875,0.9314416084429927,0.10981086464255832,2107.6706558685437,321.07206829921574,321.07206829921574,17424.19211619146
21950,62.625,0.9315715373127542,0.10953111194207553,2107.424358804976,322.6864524924597,322.6864524924597,17461.579227836526
21975,62.5625,0.9317031926999246,0.10925139045292666,2107.174698555941,324.31145580723927,324.31145580723927,17499.102799387892
22000,62.5,0.931836572319833,0.10897169974242264,2106.9216883587314,325.9471601336468,325.9471601336468,17536.763512668134
22025,62.4375,0.9319716736607894,0.10869203937949039,2106.665342050299,327.5936479903823,327.5936479903823,17574.562053615096
22050,62.375,0.932108493978176,0.10841240893488298,2106.4056740801725,329.25100252718477,329.25100252718477,17612.499112307392
22075,62.3125,0.9322470302883273,0.10813280798133151,2106.142699523605,330.91930752711977,330.91930752711977,17650.57538298996
22100,62.25,0.9323872793623393,0.1078532360937431,2105.8764340949942,332.598647408803,332.598647408803,17688.791564099713
22125,62.1875,0.932529237719642,0.10757369284935911,2105.606894161605,334.28910722847746,334.28910722847746,17727.1483582912
22150,62.125,0.9326729016214786,0.1072941778280426,2105.3340967575955,335.9907726820144,335.9907726820144,17765.646472462355
22175,62.0625,0.9328182670641444,0.10701469061240544,2105.058059598305,337.70373010676167,337.70373010676167,17804.286617780283
22200,62.0,0.9329653297722498,0.10673523078802483,2104.778801094899,339.428066483323,339.428066483323,17843.069509707122
22225,61.9375,0.9331140851915083,0.1064557979437423,2104.4963403692636,341.1638694371199,341.1638694371199,17881.995868025875
22250,61.875,0.9332645284816946,0.10617639167175337,2104.2106972693105,342.91122723991936,342.91122723991936,17921.066416866368
22275,61.8125,0.9334166545091478,0.10589701156800087,2103.9218923845215,344.67022881113553,344.67022881113553,17960.281884731165
22300,61.75,0.9335704578393008,0.10561765723232032,2103.6299470618874,346.44096371904294,346.44096371904294,17999.643004521557
22325,61.6875,0.9337259327288556,0.10533832826871818,2103.3348834221874,348.2235221817852,348.2235221817852,18039.150513563505
22350,61.625,0.9338830731178651,0.105059024285632,2103.0367243765995,350.01799506824136,350.01799506824136,18078.80515363366
